"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"HAYAI COMERCIO DE ALIMENTOS LDTA";"YAAH TEMAKERIA";"09.617.545/0001-16";"Sociedade Empresária";"12/06/2008";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";88015530;"SC";"Florianópolis";"Centro";"RUA BOCAIUVA 2297";"(48) 3879-9693";"(48) 3232-2239";"";"";"WWW.YAAHTEMAKERIA.COM.BR";"24.037088.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"HB PINHEIRO - LANCHONETE - ME";"PAMONHARIA PALHOÇA";"04.247.306/0001-06";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78058000;"MT";"Cuiabá";"CPA IV";"ROD.EMANUEL PINHEIRO - KM 10, JD.VITORIA";"(65) 3641-2658";"";"";"";"";"13.040164.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"HELA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA";"AD'ORO TRATTORIA";"04.973.560/0001-83";"Sociedade Empresária";"01/06/2002";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74170090;"GO";"Goiânia";"Setor Marista";"RUA 146, Nº 509";"(62) 3092-6006";"(62) 3092-6006";"";"";"WWW.ADORORESTAURANTE.COM.BR";"09.036640.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"HELENA PERPETUA FERREIRA VIDAL-ME";"BOMBONIERE DU MEU PAI";"01.412.609/0001-30";"Sociedade Empresária";"01/08/1996";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";35930420;"MG";"João Monlevade";"Areia Preta";"RUA VINTE E TRÊS, 140";"(31) 3852-3886";"(31) 3852-3886";"";"";"";"11.036187.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"HELENA ROSANE BERGAMO SILVA - ME";"SENZALA";"70.394.655/0001-77";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79400000;"MS";"Coxim";"Coxim";"RUA HERCULANO PENA, S/N";"(67) 3291-1904";"";"restaurantesenzala@hotmail.com";"";"";"12.042233.15.0001-1";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";200;"(""Inglês,Espanhol"")"
"HELIO DE LIMA PEREIRA";"SABOR E CIA LANCHONETE CHOPERIA";"03.463.825/0001-30";"Sociedade Empresária";"30/11/1986";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";75890000;"GO";"São Simão";"São Simão";"AVENIDA BRASIL 04 CENTRO";"(64) 3658-1105";"";"talitaribeiro@hotmail.com";"";"";"09.035837.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"HELITA FERNANDES DE OLIVEIRA - ME";"TELEBAR DO MILTINHO";"05.439.192/0001-50";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";87711340;"PR";"Paranavaí";"Jardim Nossa Senhora de Fátima";"RUA ALBINO FERRACINI, 205";"(44) 3423-3970";"(44) 3423-3970";"";"";"";"18.043222.15.0001-3";"5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Primário)";;"(Espanhol)"
"HELTON COLOMBO & CIA LTDA EPP";"RESTAURANTE E LANCHONETE COLOMBO";"70.394.721/0001-09";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79490000;"MS";"São Gabriel do Oeste";"São Gabriel do Oeste";"RUA ELVINO RAMOS NOGUEIRA, 2193";"(67) 3295-1591";"";"";"";"";"12.040382.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"HELVECIO DE PAULA REIS SA ME";"RESTAURANTE E BAR RIO";"03.880.945/0001-33";"Sociedade Empresária";"01/01/1988";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74605090;"GO";"Goiânia";"Setor Leste Universitário";"RUA 229 NR 240 QD.57 LT.14 E";"(62) 3092-8680";"";"";"";"";"09.034495.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"HERALDO RONEY BORGES BRANDAO ME";"OURO VERDE RESTAURANTE";"34.954.917/0001-47";"Sociedade Empresária";"20/09/1989";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";63700000;"CE";"Crateús";"Crateús";"RUA SAO JOSE 168";"(88) 3691-2024";"";"";"";"";"06.033066.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Francês,Espanhol"")"
"HERO COMÉRCIO DEALIMENTOS LTDA";"SUBMORE HELTH FOOD";"06.097.532/0001-75";"Sociedade Empresária";"21/01/2005";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70772540;"DF";"Brasília";"Asa Norte";"CLN 115 BLOCO D LOJA 16/20";"(XX) 3202-7404";"(XX) 3202-1404";"";"";"";"07.037613.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"HEVERTON BERNARDO TOMAZ LANCHONETE EPP";"DEGUSTAR II";"05.869.484/0001-23";"Sociedade Empresária";"01/08/2003";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";88054010;"SC";"Florianópolis";"Canasvieiras";"RUA FRANCISCO FAUSTO MARTINS";"(XX) 3222-4039";"";"";"";"";"24.036564.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"HHC COMERCIO DE ALIMENTOS LTDA";"SUSHIMAR";"00.826.675/0001-94";"Sociedade Empresária";"22/09/1995";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22793082;"RJ";"Rio de Janeiro";"BARRA DA TIJUCA";"AV. DAS AMÉRICAS, Nº 11.391 LOJAS 109 E 111";"(21) 2499-5886";"(21) 2499-6091";"";"";"WWW.SUSHIMAR.COM.BR";"19.037279.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"HIBISCO COMÉCIO DE ALIMENTOS LTDA - EPP";"HIBISCO RESTAURANTE ";"03.210.181/0001-79";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70770731;"DF";"Brasília";"Asa Norte";"SHCG NORTE QD. 716 BLOCO A SN LOJA 06  ";"(61) 3347-5319";"";"";"";"";"07.039680.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"HIDROMATE COMERCIO DE ALIMENTOS LTDA";"REI DO MATE";"08.600.786/0001-90";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";20010010;"RJ";"Rio de Janeiro";"Centro";"PC QUINZE DE NOVEMBRO N21 PXLE 13";"(21) 2224-9873";"";"";"";"";"19.038498.15.0001-3";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(Inglês)"
"HILMA TEREZINHA NASCIMENTO E FONSECA ME";"ARMAZEM";"09.944.452/0001-04";"Sociedade Empresária";"06/06/2008";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";38190000;"MG";"Sacramento";"Sacramento";"RUA MAJOR LIMA, 80 - CENTRO";"(34) 3351-3653";"";"";"";"";"11.036815.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"HIPOLITO BILHALVA GARAY";"YOGGI";"07.513.858/0001-07";"Sociedade Empresária";"25/07/2005";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70770100;"DF";"Brasília";"Asa Norte";"SETOR TERMINAL NORTE CONJUNTO J LOJA T103";"(XX) 3556-0203";"";"";"";"";"07.037486.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"HIRO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA";"RESTAURANTE SHINSUZURAN";"07.800.611/0001-63";"Sociedade Empresária";"19/04/2006";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69053140;"AM";"Manaus";"Nossa Senhora das Graças";"AVENIDA JOÃO VALERIO 762 - TERREO";"(92) 3584-4429";"(92) 3584-4429";"takano@suzuran.com.br";"";"WWW.SUZURAN.COM.BR";"03.036098.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;"(""Inglês,Japonês"")"
"HM COMERCIO DE CHURRASCOS LTDA-ME";"ESPETINHOS MIMI";"13.427.508/0001-12";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71900100;"DF";"Taguatinga";"Norte (Águas Claras)";"AV DAS CASTANHEIRAS LT 980 BL A LJ 01";"(61) 3522-8487";"";"hugobbbraz@yahoo.com";"edna_saliba@hotmail.com";"espetinhosmimi";"07.042236.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"HORA DO CHOPP BAR RESTAURANTE LTDA-ME";"HORA DO CHOPP";"08.800.326/0001-05";"Sociedade Empresária";"04/03/2009";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";78050000;"MT";"Cuiabá";"Bosque da Saúde";"AV. HISTORIADOR RUBENS DE MENDONÇA;3.300, QUIOSQUE 239";"(65) 3052-1005";"";"jeancfs@terra.com.br";"";"";"13.036925.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(""Nenhuma das Opções"")"
"HOSPEDAGEM RURAL NSA. SENHORA DAS GRAÇAS LTDA - ME";"HOSPEDAGEM RURAL NSA. SENHORA DAS GRAÇAS LTDA - ME";"07.802.517/0001-43";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";88650000;"SC";"Urubici";"Urubici";"AV. RODOLFO ANDERMANN, 2238";"(49) 3278-4040";"(49) 3278-4215";"hospedagem@twc.com.br";"";"";"24.042630.15.0001-6";"5590-6/99-ESTALAGEM; SERVIÇO DE ALOJAMENTO  (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";;"(Espanhol)"
"HOT POINT RESTAURANTE E LANCHONETE";"HOT POINT RESTAURANTE E LANCHONETE";"01.102.711/0001-30";"Sociedade Empresária";"13/06/1996";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";29101700;"ES";"Vila Velha";"Praia de Itapoã";"R. JAIR DE ANDRADE 336";"(27) 3200-4399";"";"";"";"";"08.037481.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"HOTEL E CHURRASCARIA CALIFORNIA LTDA";"HOTEL E CHURRASCARIA CALIFORNIA";"07.514.220/0001-82";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";76550000;"GO";"Porangatu";"Porangatu";"RUA SANTANA,FRENTE PARA BR 153,S/N,Q.05,L.06,KM 73";"(62) 3362-2532";"";"hotelchurrascaria@hotmail.com";"";"";"09.041596.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"("""")"
"HOTEL E RESTAURANTE REPRESA LTDA - EPP";"REPRESA";"04.389.215/0001-05";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";89270000;"SC";"Guaramirim";"Guaramirim";"RODOVIA BR - 280 - NR. 11.119";"(47) 3373-6022";"";"";"";"";"24.042053.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"HOTEL RESTAURANTE E LANCHONETE ENO'S LTDA";"HOTEL ENO'S                                                 ";"05.754.911/0001-28";"Sociedade Empresária";"02/07/2003";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";89124000;"SC";"Benedito Novo";"Benedito Novo";"RUA LEOPOLDO KOPROWSKI                                      ";"(XX) 47385-0533";"";"";"";"";"24.034645.15.0001-4";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";;"(""Alemão,Inglês"")"
"HOTEL, RESTAURANTE E LANCHONETE NOVA GERAÇÃO LTDA - ME";"HOTEL, RESTAURANTE E LANCHONETE NOVA GERAÇÃO";"24.606.576/0001-65";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79955000;"MS";"Jutí";"Jutí";"RODOVIA BR 163, KM 173";"(67) 3463-1127";"(67) 3463-1127";"grupo_novageracao@hotmail.com";"asteria_davidms@hotmail.com";"";"12.042163.15.0001-5";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";120;"(""Nenhuma das Opções"")"
"HS ALIMENTAÇÃO , HOSPEDAGEM, COM E SERV. LTDA -ME";"CHURRASCARIA , HOTEL E RODÍZIO PAU DE FRUTA";"08.022.122/0001-90";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";39100000;"MG";"Diamantina";"Diamantina";"ALTO DO GUINDA, S/N, ZONA RURAL";"(38) 3534-6003";"(38) 3534-6003";"hsalimentacao@bol.com.br";"";"";"11.041703.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5510-8/01-HOTEL (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Secundário)";1000;"(""Nenhuma das Opções"")"
"HS RONDONOPOLIS COMERCIO DE ALIMENTOS LTDA";"SUBWAY DE RONDONOPOLIS";"11.694.370/0001-92";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78740024;"MT";"Rondonópolis";"Vila Aurora";"RUA DOM PEDRO II 972";"(66) 3422-2234";"(66) 3423-2347";"ags.contabil@terra.com.br";"";"";"13.045250.15.0001-8";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";100;"(""Nenhuma das Opções"")"
"HUDSON LOMEU RAMOS";"PIZZAMILLE";"09.115.457/0001-16";"Sociedade Empresária";"28/10/2007";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74810100;"GO";"Goiânia";"Jardim Goiás";"AV. DEPUTADO JAMEL CECILIO N3300 LUC P 446 TERREO 1";"(62) 3092-5813";"(62) 3546-2378";"hudsonramos@globo.com";"";"";"09.037177.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"("""")"
"HUMBERTO LUIZ BORGES - ME";"H.B.GRIL & H.B.PAES & CIA";"05.523.280/0001-36";"Sociedade Empresária";"05/03/2003";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78350000;"MT";"Brasnorte";"Brasnorte";"RUA CASCAVEL,1184, CENTRO";"(66) 9636-0383";"(66) 3592-1124";"plumacontabilidade@gmail.com";"";"";"13.036392.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(""Nenhuma das Opções"")"
"HUMBERTO PALMEIRA DE CERQUEIRA FILHO - RESTAURANTE";"DEGUST RESTAURANTE";"07.256.355/0001-95";"Sociedade Empresária";"17/02/2005";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";43700000;"BA";"Simões Filho";"Simões Filho";"AV. ALTAMIRANDO DE ARAUJO RAMOS, 147 CENTRO";"(71) 3396-3985";"";"";"";"";"05.037722.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"HUSSEINI & OLIVEIRA ";"SFIHA & CIA";"09.571.835/0001-76";"Sociedade Empresária";"20/05/2008";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71680000;"DF";"Lago Sul";"Setor de Mansões Dom Bosco";"SMDB/SUL CL CONJUNTO 12 BLOCO H LOJAS 107 E 108";"(XX) 3366-6067";"";"";"";"WWW.SFIHAECIA.COM.BR";"07.035700.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Árabe,Inglês"")"
"I AM BIER CLUB LTDA";"I AM BIER CLUB";"09.192.755/0001-00";"Sociedade Empresária";"13/09/2008";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";89560000;"SC";"Videira";"Videira";"ROS SC 453 KM 45 - BAIRRO II PINHEIROS";"(49) 3566-7090";"(49) 3533-0035";"";"";"WWW,IAMBIERCLUB.COM";"24.037209.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"I C HENRIQUES SANTOS LANCHONETE - ME";"I C HENRIQUES SANTOS LANCHONETE - ME";"04.193.156/0001-97";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";11700170;"SP";"Praia Grande";"Canto do Forte";"RUA RUI BARBOSA 153";"(13) 3474-5773";"";"";"";"wwwpoint66.com.br";"26.043568.15.0001-6";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(Inglês)"
"I DE F FIGUEIREDO BARBOSA ME";"RESTAURANTES DELICIAS DE NALVA";"11.325.456/0001-48";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";68870000;"PA";"Soure";"Soure";"RUA QUARTA Nº 1051";"(91) 8229-9678";"";"";"";"";"14.043696.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Francês)"
"I E FLEITA ME ";"HAFAID FAST FOOD ";"07.336.869/0001-50";"Sociedade Empresária";"21/12/1983";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78740390;"MT";"Rondonópolis";"Jardim Mato Grosso";"AV LIONS INTERNACIONAL 1035";"(66) 3422-0860";"(66) 3421-4258";"";"";"WWW.ROOTUR.COM.BR";"13.041826.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"I G RESMINI CHURRASCARIA";"CHURRASCARIA CONCÓRDIA";"73.864.027/0001-04";"Sociedade Empresária";"02/02/1994";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78700050;"MT";"Rondonópolis";"Centro";"AV. AMAZONAS, 1050, CENTRO";"(66) 3423-1300";"";"";"";"";"13.035210.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5510-8/01-HOTEL (Primário)";;"("""")"
"I T GRETZLER & CIA LTDA.";"LANCHONETE TERRA DAS ÁGUAS";"07.258.223/0001-00";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";85892000;"PR";"Santa Helena";"Santa Helena";"AV. PARANA, 2070";"(45) 3268-2174";"(44) 3221-1011";"";"";"";"18.038059.15.0001-1";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";;"("""")"
"I. TAKAHASHI E CIA LTDA - ME";"GOLDEN CHOPP";"07.303.771/0001-05";"Sociedade Empresária";"30/03/2005";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78300000;"MT";"Tangará da Serra";"Tangará da Serra";"AV. BRASIL, 1630 W";"(65) 3326-6435";"";"";"";"WWW.GOLDENCHOPP.COM.BR";"13.034382.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Espanhol,Japonês"")"
"I.DE SOUZA RAMOS & CIA LTDA ME";"FOGAO DE LENHA";"09.446.430/0001-06";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79601000;"MS";"Três Lagoas";"Centro";"AV ANTONIO TRAJANO DOS SANTOS, 318";"(67) 3521-2729";"67";"";"";"";"12.043267.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"I.S.C.DE MEDEIROS";"BIG FOOD";"14.364.004/0001-63";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69908650;"AC";"Rio Branco";"Bosque";"AVENIDA GETULIO VARGAS,1901";"(68) 3224-4282";"(68) 3028-4282";"bigfood@brturbo.com.br";"";"www.biglanche.com.br";"01.041150.15.0001-0";"8230-0/02-INSTALAÇÕES PARA EVENTOS; GESTÃO DE (Secundário), 5611-2/01-CHURRASCARIA; SERVIÇO DE ALIMENTAÇÃO (Secundário)";200;"(""Nenhuma das Opções"")"
"IGUATEMI 434 ALIMENTOS LTDA";"LECADÔ";"04.093.535/0001-05";"Sociedade Empresária";"14/08/2000";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";20540030;"RJ";"Rio de Janeiro";"Tijuca";"RUA BARÃO DE SÃO FRANCISCO 236 LJ 434";"(21) 3879-9006";"";"daniel@lecado.com.br";"";"WWW.LECADO.COM.BR";"19.038040.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";10;"(""Nenhuma das Opções"")"
"IGUATEMI REFEIÇÕES LTDA EPP";"SERRA PANTANAL";"04.979.733/0001-70";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78050000;"MT";"Cuiabá";"Bosque da Saúde";"AV.HISTORIADOR RUBENS DE MENDONÇA, Nº3300";"(65) 3615-7622";"";"www.restauranteserra.com.br";"";"";"13.043449.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Japonês)"
"IITIDÔ CULINÁRIA ORIENTAL LTDA -ME";"IITIDÔ";"09.192.669/0001-05";"Sociedade Empresária";"15/01/2008";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";72020016;"DF";"Taguatinga";"Taguatinga Sul";"QS 03 RUA 420 LOTE 3 LOJA 1603";"(61) 3352-2008";"";"";"";"";"07.036983.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Japonês)"
"ILHA GOURMET LTDA-EPP";"MOI GLOBAL CUISINE";"11.952.354/0001-52";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29050902;"ES";"Vitória";"Enseada do Suá";"AV.AMERICO BUAIZ ,200, LJ 260";"(27) 3227-6247";"";"";"";"";"08.043536.15.0001-4";"5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";;"("""")"
"ILHA VITÓRIA ADMINISTRAÇÃO HOTELEIRA LTDA";"HOTEL IBIS VITÓRIA PRAIA DO CANTO";"04.837.505/0001-66";"Sociedade Empresária";"25/10/2002";"Empresa de Médio ou Grande Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";29055620;"ES";"Vitória";"Praia do Canto";"RUA JOAO DA CRUZ, 385                              ";"(27) 2104-4895";"(27) 2104-4890";"h-5223-gl1@accor.com.br";"h-5223-gl@accor.com.br";"www.ibis.com.br";"08.024419.15.0001-5";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";;"(""Inglês,Espanhol"")"
"ILIOS COMÉRCIO LTDA";"CHOPERIA ALBANOS";"01.052.517/0001-97";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";30310080;"MG";"Belo Horizonte";"Cruzeiro";"RUA PIUM-I, 611, ANCHIETA";"(31) 3281-2644";"";"";"";"www.albanos.com.br";"11.040221.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"IMG COMERCIO DE GENEROS ALIMENTICIOS LTDA";"OCA DE SAVOIA";"10.654.752/0001-20";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";90570060;"RS";"Porto Alegre";"Moinhos de Vento";"R  LUCIANA DE ABREU,  364";"(51) 3222-6291";"";"www.ocadesavoia";"";"";"23.042439.15.0001-9";"5611-2/01-ROTISSERIA; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(Espanhol)"
"INÁCIA DE FÁTIMA MEDEIROS ANACLETO - ME";"W EMPORIO. CAFÉ";"00.823.454/0001-62";"Sociedade Empresária";"13/10/1995";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";57022050;"AL";"Maceió";"Jaraguá";"AV. DA PAZ, 1140";"(82) 3223-5315";"(82) 3223-8080";"abmaal-@hotmail.com";"";"WWW.PICUI.COM.BR";"02.030647.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";40;"(""Inglês,Espanhol"")"
"INGO FROST & CIA LTDA EPP";"PADARIA E CONFEITARIA GLÓRIA";"01.690.898/0001-30";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";89400000;"SC";"Porto União";"Porto União";"RUA SETE DE SETEMBRO, 185, SALA 01";"(42) 3223-2043";"";"";"";"";"24.038059.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"INOVAÇÃO BAR E RESTAURANTE LTDA";"INOVAÇÃO BAR E RESTAURANTE";"27.686.567/0001-10";"Sociedade Empresária";"15/04/1982";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";21021350;"RJ";"Rio de Janeiro";"Olaria";"RUA PROFESSOR PLINIO BASTOS, Nº 600 LOJA";"(21) 2290-6470";"";"";"";"";"19.036160.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"INTERLAGOS COMERCIO DE ALIMENTOS";"RESTAURANTE  MEDITERRANEO";"10.515.878/0001-13";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";81200100;"PR";"Curitiba";"Mossunguê";"PROF. PEDRO VIRIATO PARIGOT DE SOUZA 600, LOJA 307";"(41) 3317-6980";"";"";"";"";"18.043528.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"IOLANDA OLIVEIRA DOS SANTOS";"RECANTO DO PALADAR";"14.170.627/0001-03";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78180000;"MT";"Santo Antônio do Leverger";"Santo Antônio do Leverger";"AV. CEL. ARRUDA PINTO, S/N, CENTRO";"(65) 9601-5678";"";"iolanda@terra.com.br";"";"";"13.044636.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;"(""Nenhuma das Opções"")"
